investor_risk_capacity,investor_risk_tolerance,investor_behavioral_fragility,investor_time_horizon_strength,investor_effective_risk_tolerance,investor_time_horizon_years,asset_returns_60d_ma,asset_volatility_30d,asset_sharpe_ratio,asset_sortino_ratio,asset_calmar_ratio,asset_max_drawdown,asset_skewness,asset_kurtosis,asset_beta,market_vix,market_volatility_level,market_vix_percentile,nifty50_level,market_return_1m,market_return_3m,market_regime_bull,market_regime_bear,risk_free_rate,market_top_sector_return,market_bottom_sector_return,market_sector_return_dispersion,portfolio_num_holdings,portfolio_value,portfolio_sector_concentration,portfolio_equity_pct,portfolio_commodity_pct,portfolio_avg_weight,portfolio_volatility,portfolio_sharpe,portfolio_max_drawdown
0.0,0.0,0.0,0.0,0.0,0.0,0.0800732300529836,0.03319672131147544,0.5182599355531686,1.0,0.0503903477643719,0.8433049570802329,1.0000000000000002,0.31901932284883266,0.6170655567117586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.009819506632813255,0.003688524590163944,0.5853920515574651,0.3918152350081036,0.4375443577004968,0.9720450158171308,0.35346173867777203,0.31345503233402744,0.7783558792924038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.004846537608470064,0.987295081967213,0.7013963480128893,0.5372771474878444,0.3016323633782825,0.9389404292847856,0.7032795419052578,0.09613857500580131,0.9105098855359001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.009103061942865504,0.14467213114754102,0.6401718582169711,0.17868719611021067,0.33995741660752304,0.9694702146423928,0.48412285268089544,0.40835709833653866,0.14151925078043714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.04968754643814088,0.5040983606557377,0.2508055853920516,0.9145056726094002,0.22711142654364797,0.6928630027276867,0.500260281103592,0.6051165934850677,0.21436004162330902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.07602742474504337,0.07950819672131154,0.0,0.32374392220421383,0.3857345635202271,0.739393338242594,0.8532014575741802,0.21623451195034732,0.254942767950052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.06342642696302123,0.5217213114754098,0.5445757250268529,0.5623987034035656,0.9052519517388219,0.7879467318233669,0.13014055179593964,0.013447035410779296,0.7481789802289279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.49780641941497433,0.19626898700097534,0.5137064741165243,0.3043445837142677,0.17273161768047535,0.2942062177089175,0.455895437608655,0.9967559573526733,0.8844096009860148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.04812822564237225,0.020081967213114782,0.835123523093448,0.3589951377633711,0.10716820440028389,0.831534437424288,0.7922956793336805,0.12906062721839887,0.610822060353798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0012221703534402786,0.9204918032786884,0.6632653061224489,0.30996758508914096,0.5255500354861604,0.8405462415358709,0.18323789692868298,0.595069957833336,0.7689906347554628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.8971577090650071,0.16797421100274607,0.5536266717701596,0.21442621019012748,0.22102494573570075,0.25772573811449456,0.9742135379488933,0.6909078652738859,0.9673751653808386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.37575279620907054,0.37246480114696606,0.4526651125159433,0.24315921840381488,0.1294148623686593,0.32338984486517647,0.9169031957740594,0.7598134856421441,0.445094457053297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.04387170130797681,0.6422131147540984,1.0,0.5174230145867098,0.3158268275372605,0.9319516832390683,0.2727745965642895,0.2670859447106506,0.04370447450572312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.8873770487908615,0.23096470392656304,0.271342981453925,0.5048625161232951,0.18745352990171466,0.06251425429635399,0.7182517367408616,0.7650689273525835,0.18125511036954722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.041469504406387296,0.22090163934426238,0.13909774436090222,0.6940842787682333,0.3836053938963804,0.9839994498426998,0.13378448724622594,0.20649700354943817,0.08012486992715917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
